A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A4	A5	A6	A7	A8	D1	D10	D11	D12	D13	D16	D17	D18	D19	D2	D20	D21	D23	D3	D4	D5	D6	D7	D8	D9	F1	F10	F12	F13	F14	F15	F16	F17	F18	F19	F2	F20	F21	F22	F3	F4	F5	F6	F7	F9	K1	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K2	K20	K21	K22	K24	K3	K4	K5	K6	K7	K8	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P3	P5	P8	P9
te_547	1.47650180885117	0	0.816050947345841	0.924111152664358	0.438986385918432	1.04452715988541	0	0	0	0	0.412452099362121	0	0	1.26127981909942	0	0	0	0	0.65319785519523	0	0	0	0	0	0	0	0.445773511486303	0	0	0.955120663968425	1.78024668874462	0.782672727267871	0.185282098050578	3.42695964546273	3.85332448583351	0	2.73544855249164	0.9269445655824	0.118292816697057	0	1.5440490581008	2.21777187603341	0	1.18938138912671	0.851147270911275	0.351645082210153	0	0	0	0	0	0	0	0	0.756170345875096	2.21841958829962	0.188945856096633	0	0	0	0	3.02254836766623	0	0	0	0.529459943772913	0.326176404312386	3.38251005416752	0	2.09354451809951	0.6570465005778	0	0	0.697642037832341	1.89648244453396	0	0	0.121382866106527	0	0	0.458130079636345	0	0.2315823726087	0	2.51385287843304	0	0	0	0.930467224790431	0	0.926501938137667	0	1.84102470037347	0.813050317699075	0.851726980193797
te_590	0	0	0	3.17591514414538	2.39720561409565	0	0	0	0	0	0	3.20212075604262	0.62013809275918	0	0	0	0	0	0	0	1.72410300087563	0	0	0	0	0	0	0	0	0	0	0	2.59200049009392	1.30731119955854	0.443302405884958	0	0	0	3.05166863990233	0.941898720657966	1.48267991083569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65965017607033	0	0	0	0	0	3.53072447651634	0	0.809813419557515	0	0.815746232401494	2.12377390653675	3.01489873736232	2.81415872587117	0	0	0	0	0	0.578565202504353	0	0	0	0	0.607713649017153	0	0	0	0	0	0	4.18765264591455	0	0
te_674	2.2728811205012	0.366886880393948	3.28490973789206	3.46555761231236	1.7429979113601	4.17734762341858	3.00532120318234	2.91800533958513	3.6362867460551	2.27710069868814	0	2.45270642459115	1.95715751390082	0.44765713815276	0.531608937682556	1.87601072871586	0	3.04199277647311	1.08179498757914	1.39686839919509	0	0	0	0	0	0	2.41022352214284	0.413095727002889	4.09175075615628	0	0	0	0.929381432200497	3.55504807745129	2.70283628267817	4.30931461009833	2.15458083696143	0.981068057623966	0.192088211993501	2.28856533863151	0	0.842075110651946	0.20335167978645	2.37175522273048	0	0	0.862126635541812	3.94428281466567	0.624549361571879	1.95657486004378	0.720431687590894	0	1.78982808645636	0	2.9023845117224	3.05686317547162	4.28531423868981	1.92423662053841	2.3083163485873	0.194335787694602	0	0.517910402922317	1.04059851207315	2.37204012512537	0	1.26547558251544	0	5.01487523003163	0.989042872273859	1.63615230747273	2.6267849340463	0.542134237040948	0.518436849984747	0	0	2.04962228367825	0	1.74015941028602	1.03571771980588	0.491285162320774	1.31906315756277	1.02175627520256	1.74443993742067	0	0	0	0	2.15900764353557	0	0	0	2.29864281907174	0.914930278094724	0	0
te_684	2.39199967892332	2.45635686533318	0.586868418148046	2.57119851214661	4.42338160138526	3.44737601581095	0	1.67837510260282	3.68051519754077	0	4.28784009890796	3.81253878478876	3.44526532423262	0.232212980019345	2.67269407415812	2.20988245912591	0	0.563104660008163	2.7498565524901	0.645451466162413	0	0	0	1.46467450110734	1.48347983960553	1.69493996459428	0	2.85127416738378	0	1.17098624593985	1.50248239503297	2.52819248773658	3.05859386142721	0.591643099178972	2.76828294332516	1.01660104587905	0	4.08659978846436	2.74956152921968	4.82202903654908	0.908502612048469	2.48544378367267	4.02698974145988	0.897611341533093	1.05429179033955	1.771940350398	0.535797847829276	1.68045817978446	3.90409004809207	2.09306344094309	1.351470773712	1.27435998631753	3.91512928806818	0.5788172364678	2.17437639986862	0	0	3.47679368508937	0.520885027799292	1.14486666915374	1.04175003509046	1.54333114997303	2.05094948711611	4.05142414238678	0	4.49874954124091	0	0.471373565868176	3.43944725420546	0.809813419557515	0	0.815746232401494	0.63013491091714	2.47252298392838	0	2.55542773087028	0	1.30038762924469	3.42643086605475	1.26240520793035	2.69750654725785	2.91372454488459	2.30224770530837	0	0.312638392623093	0	2.61843665955292	2.65961249836563	0.910452812027907	0	1.32514696880925	5.17107259983687	0.914930278094724	2.42219853291558	2.67002436552119
te_685	1.51450718288882	1.6652806540694	0	0.416724742290284	0	2.29909121556094	0	1.67837510260282	1.49386857371549	0	0	0.803836111494485	0	0.232212980019345	2.61790168283235	0	0	0.457335927564802	0	0.236556890439549	0	0	0	1.46467450110734	0	0.229127297466643	0	2.85127416738378	0	1.17098624593985	0	2.52819248773658	2.69329010015382	0.591643099178972	2.42602660401947	1.01660104587905	0	0.647924406901212	1.78641104082801	4.02536143741617	0.660137194491495	2.48544378367267	2.58049600722801	0.897611341533093	0	1.771940350398	0	0.914380824318393	0	1.7271889564575	0.130209475970053	1.46130044571126	3.80052102704495	0.5788172364678	1.44493362741365	0	0	0.432339409103032	0	1.01706708538005	1.04175003509046	1.28664425245893	0.202902314178405	0.9895167173998	0	0.938351146515499	0	0.471373565868176	0	0	0	2.183509083286	0.63013491091714	0	0	0.876196695963959	0	0.568298395224712	3.42643086605475	1.26240520793035	2.69750654725785	1.34799652945301	2.07270525288458	0	0.19199132678838	0	0	2.65961249836563	0.940371263080148	0	1.32514696880925	1.46264724862871	0	2.42219853291558	0
te_703	0	0	2.18405926363911	1.1146533300652	2.0310617693996	0.676898072470774	0.207456046115772	0	0	0	0.732826727437413	1.01020846558414	0	0	0	0	0	2.85234014641716	0	0.801080987999396	0	0	0	0.435097696908374	0	3.03067230496453	0	0	0	0	2.76567683170893	0	0	0.334753921024143	0.919979795703081	1.24134952766384	3.94123663414812	0	1.07782102269138	0.782051295259588	0	0	1.44366765758286	1.25815795934439	0	0	0.21852472143837	0	1.27834350177768	0	0.313684827181453	1.12298212622879	3.9783587555064	0	0.756170345875096	0	0.30787360413896	0	0	2.45536920696763	0.885167267156874	0	1.61317727655235	0.285703322384255	0	0.453639414932231	1.16258779175106	1.48183096517797	0	0	0.724870820859572	0.416290319754354	0	1.82085648326941	0	0	0	0	1.85811362138065	0	0	0	0.2315823726087	0	0	0.607713649017153	2.44820800175659	0	0	0	0	0.170486977363864	2.5642324569626	0	0
te_790	1.08011684355798	0	0	3.18656788256624	0.890301681772568	0	0.957514406676236	1.30282499860021	0	0	0.48247170589729	0	0	2.60727858301194	0	1.06787696941893	0.424290951565056	0.999748207985662	2.67097537075715	0	1.34245860869781	0	0	2.70473861990523	5.14923892431508	0.780050035790565	0.476130432950307	0	0.44177279904497	3.62978653564228	0	0	0	0	0.560540309945577	0	3.33396099588935	0	0	0.503199098773345	2.83312888833536	0	0	0	0	1.84580687080899	1.39803922657001	0.212213806402455	2.19030124055208	0	0	2.94354529325087	0.386498770863705	0	0	0	0.491389741522439	0.764549918879838	2.02509966455483	0.783235589559977	0	0	0.42568280837191	0	0	0	3.31522337945162	0.735225460569589	0.958032768751263	0.666600345605216	0	0	0	0	3.8119353527618	0	0	0	0.807433416618769	0	1.90146505771323	0	0	0.785122254226114	0	0	0	0	1.20969577699071	2.19158702667052	2.81746401471267	0	0	0	0.774656704509787
te_886	0.199827447260616	0	0.816050947345841	0.924111152664358	0.438986385918432	2.86815412912998	0	0	0	0	0.412452099362121	0	0.310627254176068	1.26127981909942	0	0	0	0	0.65319785519523	0	0	0	0.826727208546092	0	0	0	0.445773511486303	0	0	0.623387154955907	0	0.782672727267871	0.185282098050578	2.14594952126082	2.80735833826996	0	0.961988546351904	2.71531556547265	0.118292816697057	2.81648144647855	1.5440490581008	2.21777187603341	0	3.6658443745198	0	0.351645082210153	0	0	0	0	0	0	0	0	0.756170345875096	2.21841958829962	0.505679053333495	0	0	0	0	0.264889375513572	0	0	0	0.529459943772913	0.326176404312386	3.55179462205105	0	2.52955189694958	0	0	0	0.241236649089771	0	0	0	0	0	0	0.578565202504353	0	0.2315823726087	0	0.890669471788893	0	0	0	0.194613773445246	0	0.926501938137667	0	2.70801882316936	0.813050317699075	0.656883414743045
te_921	0	0	0	3.17591514414538	2.39720561409565	0	0	0	0	0	0	0	0.62013809275918	2.2135764726565	0	0	0	0	0	0	1.72410300087563	0	0	0	0	0	0	0	0	0	0	0	2.41795922552823	1.30731119955854	0.443302405884958	0	0	0	2.44450333929229	1.32003065655028	1.48267991083569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65965017607033	0	0	0	0	0	3.53072447651634	0	0.809813419557515	0	0.815746232401494	2.12377390653675	2.1014028779141	2.1976272824682	0	0	0	0	0	0.578565202504353	0	0	0	0	0.607713649017153	0	0	0	0	0	0	4.18765264591455	0	0
te_943	0	0.785691013852187	0	0	0	0.806013321045767	3.00532120318234	0	0	0	0	0	1.04258300481235	0	0	0.434447290939309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01548726156428	0	0	0.565299830828413	0.77575052232782	0	0	0.685827233127539	3.58601241668359	2.08512902185103	0	0	0	0	0	0	0	0	0	0	0	0	2.20044584899242	0.764549918879838	0	1.16356081086606	0	0	0	0	2.79413988056354	0	0	0	0	0	0	0	0	0	3.65645315503456	0	0	0	0	0	0.238059024859252	0	0	0	0	0	0	0	0	0	0	0.743498518422452	0	0.381581168336168	0
te_954	0	0	0	2.92423404336157	0.798884311916793	0	0	0	0.456511426514247	0	0	0	0	0	0	0	0	0.804060325004588	0	0	0.663222353312179	0	0	0	0	0	0	0	0	0	0	0	0	1.06401129008446	0	0	3.35805078299845	1.77717662268647	1.31099581808387	0.694954819382465	0	1.46949847170922	0	0	0	0.382519295430165	0	0	0	0	0	2.05626909934047	0	0	0.427070394465523	0	0	0	0	0	0	0	0	0	0	0	1.31746174851477	1.98832965672295	0	0.492224171812527	0	0	0	0	0	0	0	0	0	0	1.52044762467003	0	0	0	0	0.344667379485715	0	0	0	0	0	0	0	0	0
